X;Y;STD
160.019994;11.993013;0.445224
160.649991;11.958648;0.432434
161.279988;11.984383;0.432863
161.909997;11.830479;0.439691
162.539995;11.657837;0.557215
163.169992;11.384589;0.436193
163.799989;11.288219;0.474409
164.429998;11.202364;0.404441
165.059996;11.130000;0.358713
165.689993;11.282466;0.400121
166.319990;11.408108;0.476007
166.949999;11.329931;0.624024
167.579997;11.363013;0.637922
168.209994;11.211986;0.667988
168.839991;10.978333;0.661508
169.469988;10.813542;0.614862
170.099998;10.654583;0.511401
170.729995;10.581000;0.494139
171.359992;10.474131;0.617292
171.989989;10.366087;0.616637
172.619998;10.349999;0.593860
173.249996;10.350870;0.422425
173.879993;10.351764;0.370901
174.509990;10.316250;0.374871
175.139999;10.274328;0.664141
175.769997;10.332313;0.263556
176.399994;10.311940;0.228426
177.029991;10.339317;0.182073
177.659988;10.342500;0.173642
178.289998;10.361590;0.182939
178.919995;10.371136;0.213777
179.549992;10.353636;0.225983
180.179989;10.361590;0.193587
180.809999;10.383863;0.177355
181.439996;10.372727;0.183245
182.069993;10.401364;0.165381
182.699990;10.387045;0.195436
183.329988;10.430000;0.231431
183.959997;10.509545;0.291139
184.589994;10.561384;0.308128
185.219991;10.582384;0.318213
185.849988;10.644772;0.287723
186.479998;10.674461;0.298287
187.109995;10.651845;0.310414
187.739992;10.660682;0.256685
188.369989;10.662273;0.272444
188.999999;10.590681;0.250526
189.629996;10.590681;0.267301
190.259993;10.547727;0.264996
190.889990;10.500000;0.272338
191.519988;10.482500;0.257564
192.149997;10.500000;0.220856
192.779994;10.511136;0.199481
193.409991;10.492045;0.211842
194.039989;10.500000;0.210000
194.669998;10.520681;0.190155
195.299995;10.531818;0.209967
195.929992;10.555682;0.189259
196.559989;10.616136;0.243249
197.189999;10.695682;0.259693
197.819996;10.802272;0.304506
198.449993;10.913636;0.321764
199.079990;11.105769;0.372371
199.709988;11.319318;0.458490
200.339985;11.507045;0.420778
200.969982;11.630769;0.380927
201.600003;11.656591;0.438481
202.230000;11.737727;0.286977
202.859998;11.798769;0.253583
203.489995;11.767954;0.315685
204.119992;11.637500;0.554273
204.749990;11.624308;0.536569
205.379987;11.570681;0.454840
206.009984;11.537272;0.325711
206.639981;11.493462;0.306576
207.270002;11.359090;0.355332
207.900000;11.285909;0.334668
208.529997;11.322500;0.316885
209.159994;11.260074;0.383582
209.789991;11.230298;0.390959
210.419989;11.249104;0.328491
211.049986;11.270514;0.435770
211.679983;11.438823;0.513723
212.310004;11.631837;0.555564
212.940001;11.814782;0.713855
213.569999;11.957826;0.818916
214.199996;12.028676;0.952756
214.829993;12.107426;0.932959
